os_name,os_id,time,min_dist_ts,max_dist_ref,min_speed,max_speed,max_acc,iae,ise,itae
OS_N: 400.0,0,500.0,334.8467664231274,0.00010995240023286997,5.999999986899287,5.999999999999999,2.426201469156966e-08,0.017359844259782937,1.4244334187078597e-06,6.850756647476787
OS_N: 325.0,1,500.0,272.06230710999813,0.00011281059552545183,5.999999974836681,5.999999999999999,2.410685990754637e-08,0.017542067915014014,1.4739588983767964e-06,6.945973728540348
OS_N: 250.0,2,500.0,42.0475153143934,256.2091316178802,5.558521090486486,5.999999999999999,0.041108659183191384,85075.32062764188,17729250.114941712,23315440.189917177
OS_N: 175.0,3,500.0,41.94179448404786,192.13457885094425,5.575703535693245,5.999999999999999,0.030798847920199143,62990.47587128496,9791685.352404404,17141048.830231544
OS_N: 100.0,4,500.0,41.89127124232112,128.10932286847537,5.651880946799946,5.999999999999999,0.023643611990890476,41356.79902938237,4264766.517708156,11154809.463413442
OS_N: 25.0,5,500.0,41.86695691505895,64.05109834336886,5.79354302567517,5.999999999999999,0.014426929200997042,20282.107401300967,1041264.4478428694,5407697.51862386
OS_N: -50.0,6,500.0,41.86720791443887,0.00014972478365259998,5.999998905060897,5.999999999999999,5.0062823004369e-08,0.047824895968421106,5.683940762278946e-06,12.884035271715685
OS_N: -125.0,7,500.0,104.64838574232607,6.673858482630968e-05,5.999999923099851,5.999999999999999,3.716535528146337e-08,0.011728594733477938,4.2787426033203636e-07,2.218537867291997
OS_N: -200.0,8,500.0,167.43218196469635,6.848571949561972e-05,5.999999915802592,5.999999999999999,3.727569023009901e-08,0.01258849200417375,4.781303757385354e-07,2.4247066988682118
