Degree,N,Solve Time,Objective Value,Integral of Square Error
2,3,0.065652847290039,1.000000000000000,0.200000000062412
2,4,0.008756160736084,1.000000000000000,0.100000000393593
2,5,0.015768527984619,1.013932024128000,0.076425888338194
2,6,0.015289306640625,1.101124297908110,0.075795956726100
2,7,0.013510704040527,1.197163218793059,0.072991745401083
2,8,0.015284776687622,1.281723593466755,0.069009651316997
2,9,0.015954256057739,1.352990547143699,0.064745230841495
2,10,0.016847133636475,1.415165722966946,0.062400040518266
2,11,0.024824142456055,1.481417463651662,0.062187492965899
2,12,0.027793645858765,1.549293529702119,0.061994939723031
2,13,0.021738290786743,1.615807213378025,0.061613905964994
2,14,0.025230646133423,1.679402908249726,0.061007640592246
2,15,0.025372028350830,1.740831796315104,0.060752961581478
2,16,0.023592233657837,1.803734436061381,0.060755213936184
2,17,0.026117324829102,1.867150030881663,0.060727511198104
2,18,0.029575824737549,1.930046210166258,0.060625820178482
2,19,0.033858060836792,1.991681877652304,0.060431165360777
2,20,0.036230564117432,2.052656585800264,0.060396132907807
2,21,0.040921449661255,2.114384477742462,0.060405258721522
2,22,0.045893907546997,2.176318050527882,0.060396677633465
2,23,0.058507680892944,2.237942337545005,0.060352774649874
2,24,0.076469659805298,2.298838718637162,0.060263758808775
2,25,0.061488866806030,2.359589237912938,0.060268883891797
2,26,0.075542211532593,2.420762205429411,0.060274985377316
2,27,0.069927692413330,2.482022187767974,0.060270347493761
2,28,0.077482461929321,2.543060381757616,0.060245981118556
2,29,0.090228080749512,2.603624601101017,0.060205821320946
2,30,0.089229583740234,2.664237987866116,0.060210110161546
2,31,0.093785047531128,2.725102349923063,0.060213798348390
2,32,0.109026670455933,2.785998595343900,0.060210438787158
2,33,0.112833023071289,2.846720549962945,0.060194796557282
2,34,0.118525266647339,2.907123009894456,0.060175174063165
2,35,0.125535249710083,2.967638492552334,0.060178344529941
2,36,0.134031534194946,3.028312205353406,0.060180534641232
2,37,0.137822628021240,3.088989245429468,0.060177786481647
2,38,0.152386426925659,3.149521964258158,0.060166777925583
2,39,0.158403873443604,3.209839213790262,0.060156969359458
2,40,0.173031568527222,3.270283051172054,0.060159275282334
2,41,0.161719083786011,3.330829973737038,0.060160550295927
3,4,0.010147809982300,1.000000000000000,0.142857142994552
3,5,0.006520986557007,1.013932024131596,0.082208666894704
3,6,0.010126829147339,1.150098817650024,0.080137863973832
3,7,0.013475179672241,1.281723593464610,0.073837832069820
3,8,0.015055418014526,1.384156877866462,0.066855962177365
3,9,0.019685268402100,1.468175127987197,0.063596079932747
3,10,0.022472620010376,1.563714835711262,0.064035745072243
3,11,0.022445678710938,1.660887524961931,0.063816255150029
3,12,0.032521009445190,1.752864647480585,0.062997988229303
3,13,0.029253482818604,1.837647550782637,0.061798283575614
3,14,0.033164739608765,1.916270479558928,0.061161335497576
3,15,0.047940731048584,1.994624021977744,0.061250523605345
3,16,0.040788173675537,2.071634835166559,0.061174807690748
3,17,0.040330171585083,2.145924397745663,0.060915823750399
3,18,0.054332256317139,2.216804077757763,0.060492031041332
3,19,0.064935207366943,2.286377740767832,0.060514269523806
3,20,0.056594371795654,2.356284509851078,0.060538187711800
3,21,0.065067291259766,2.425576708563166,0.060511134706295
3,22,0.072468757629395,2.493600448189592,0.060413368323399
3,23,0.082530498504639,2.559942128023758,0.060269582120515
3,24,0.107105493545532,2.625937685395727,0.060292752895693
3,25,0.110338926315308,2.692087720082733,0.060306270780906
3,26,0.106325626373291,2.757900754977736,0.060294115056555
3,27,0.106336593627930,2.822993096563620,0.060246510226647
3,28,0.121902227401733,2.887144969725780,0.060192545825441
3,29,0.137188434600830,2.951277417664063,0.060206852769601
3,30,0.154989004135132,3.015480844173714,0.060214583028290
