Degree,N,Solve Time,Objective Value,Integral of Square Error
2,3,0.011009454727173,0.066056349209058,0.366666668075301
2,4,0.009362220764160,0.060575431201914,0.237037043653776
2,5,0.012765884399414,0.045925371643022,0.158796320470886
2,6,0.013248920440674,0.035298661688291,0.119097299013099
2,7,0.017914772033691,0.027890347679122,0.095277894619269
2,8,0.023773193359375,0.022579984508492,0.079398881673451
2,9,0.027201414108276,0.018674486988795,0.073018317722463
2,10,0.035681247711182,0.015745519888687,0.069078354744425
2,11,0.042810916900635,0.013478031884164,0.065483249179077
2,12,0.032047510147095,0.011681121444381,0.063198627144709
2,13,0.056300640106201,0.010245575627202,0.062925391243196
2,14,0.057480335235596,0.009077535511402,0.062534270916752
2,15,0.107514142990112,0.008109625912650,0.061976102839258
2,16,0.142655611038208,0.007295727143173,0.061259469457576
2,17,0.144081354141235,0.006604901811345,0.061050142524098
2,18,0.158857583999634,0.006016332927376,0.061049523485911
2,19,0.124024629592896,0.005509395711710,0.060979634745154
2,20,0.147524356842041,0.005068473864303,0.060824453069492
2,21,0.234671592712402,0.004681729607388,0.060582306827127
2,22,0.141636848449707,0.004340662002616,0.060525941771393
2,23,0.173374176025391,0.004039178581916,0.060531545567313
2,24,0.298098087310791,0.003770921388290,0.060503341583647
2,25,0.244501113891602,0.003530764623801,0.060432330066025
2,26,0.311914682388306,0.003314589930450,0.060326707347585
2,27,0.461455106735230,0.003119557159373,0.060337396056839
2,28,0.471402645111084,0.002943150634776,0.060343710816486
2,29,0.375517129898071,0.002782850480620,0.060329781557903
2,30,2.674793958663940,0.002636936222710,0.060403585908652
2,31,0.844543218612671,0.002503411320577,0.060426183695564
2,32,0.525343656539917,0.002379688830535,0.060261767161425
2,33,1.237375974655151,0.002266698884307,0.060252915343409
2,34,0.919919729232788,0.002162748547693,0.060307037810963
2,35,0.908968687057495,0.002066136619971,0.060220488103524
2,36,0.609521150588989,0.001976736152631,0.060199201893781
2,37,24.598654508590698,0.001893758466014,0.060204586538782
2,38,0.844925880432129,0.001816590750433,0.060208598511055
2,39,0.964479446411133,0.001744784842893,0.060216495081867
2,40,1.004316329956055,0.001677389191792,0.060184149063591
3,4,0.009978771209717,0.024533938005187,0.267357147912962
3,5,0.002506256103516,0.029862146942334,0.181544675046105
3,6,0.016751766204834,0.026801431961673,0.122969880459517
3,7,0.028071165084839,0.022358529605444,0.092236911384514
3,8,0.025786638259888,0.018662528629643,0.079028112721131
3,9,0.032533168792725,0.015825626526945,0.073202166173417
3,10,0.034354925155640,0.013608180262585,0.068027993746574
3,11,0.045911788940430,0.011861127150706,0.067867771542101
3,12,0.100922346115112,0.010464528414385,0.067083409173646
3,13,0.119814634323120,0.009317888417879,0.067070089780352
3,14,0.125125885009766,0.008362923857976,0.066919654020128
3,15,0.576292753219604,0.007554715472666,0.066390521845211
3,16,0.126056194305420,0.006862194425344,0.065573588698410
3,17,0.204023599624634,0.006262936203453,0.064553576033559
3,18,0.349829196929932,0.005740162094841,0.063406083922609
3,19,0.296170234680176,0.005281358224104,0.062635577107932
3,20,0.468216180801392,0.004881365674566,0.063004044355077
3,21,0.665680170059204,0.004525107462581,0.062328110539926
3,22,0.660745859146118,0.004211176635444,0.062393664218047
3,23,0.741160392761230,0.003930763383752,0.062357635177894
3,24,1.205760002136230,0.003678595523718,0.062135880583075
3,25,0.846336364746094,0.003452508605382,0.062284176451355
3,26,1.105535984039307,0.003246403210450,0.061973707614134
3,27,1.264415740966797,0.003059342083949,0.061716160162909
3,28,1.571888685226440,0.002888486495011,0.061495427794015
3,29,1.620134353637695,0.002734369029876,0.061671562011533
3,30,1.719503641128540,0.002592619612810,0.061712642322071
3,31,1.765707969665527,0.002462305396492,0.061732004164307
3,32,1.969345092773438,0.002342583324997,0.061793244025163
3,33,2.401034593582154,0.002231239111049,0.061713208250531
3,34,2.700376033782959,0.002128802610120,0.061740327516601
3,35,2.754497289657593,0.002034032095989,0.061790867398006
3,36,2.998949527740478,0.001945753157221,0.061797379910322
3,37,3.038284778594970,0.001864087391181,0.061888190693562
3,38,3.397426843643188,0.001787817379228,0.061953433990782
3,39,3.618937492370606,0.001715987151742,0.061915677732606
3,40,4.736063957214355,0.001649565794788,0.062014999774098
4,5,0.017596721649170,0.010149662854155,0.210741836120812
4,6,0.018503665924072,0.014887492996373,0.146667162558885
4,7,0.031944751739502,0.015408201464217,0.100147479460174
4,8,0.041648864746094,0.014108298240806,0.081844251777781
4,9,0.041690826416016,0.012453907630319,0.074327770373942
4,10,0.053373813629150,0.010967429452519,0.071221221170418
4,11,0.106092214584351,0.009745474616655,0.070561483640795
4,12,0.134505510330200,0.008724840735873,0.070125891751559
4,13,0.128492116928101,0.007868595278124,0.070227470503974
4,14,0.172066450119019,0.007138538252151,0.069661585602178
4,15,0.155429124832153,0.006507986870107,0.068630498188972
4,16,2.904865980148316,0.005958183083826,0.067313196269488
4,17,0.463602304458618,0.005476555411346,0.067013951119586
4,18,0.523348331451416,0.005051395050296,0.066240453291614
4,19,0.778912782669067,0.004674771716631,0.065614144865351
4,20,0.833039999008179,0.004337199695120,0.064376637102384
4,21,0.945756673812866,0.004037494494769,0.063931064072278
4,22,1.054194211959839,0.004135288347308,0.084764147080735
4,23,1.577716112136841,0.003520785503801,0.061857186360206
4,24,1.376991987228394,0.003308495798884,0.063049340812070
4,25,1.509121179580688,0.003111770876508,0.063112554063152
4,26,1.861361265182495,0.002929591041627,0.062473595564703
4,27,2.295457124710083,0.002764002366041,0.062080183218196
4,28,2.646403074264526,0.002614193926929,0.062030447941456
